sample_id,hour,co2,aerosol,temp,hum,occupant_count,rule_status,output_unc,output_ctrl,unc_status_match,unc_hallucination,unc_action_ok,ctrl_status_match,ctrl_hallucination,ctrl_action_ok
11,2026-04-09 01:00:00,1041.7,5.0,26.8,26.1,154493,danger,"**현재 환경 상태 요약**

전반적인 공기질(PM2.5)은 매우 양호하나, 높은 재실 인원으로 인해 이산화탄소 농도가 다소 높고 실내 온도가 다소 높으며 습도가 낮은 상태입니다. 쾌적한 환경 유지를 위해 환기량 증가와 온도 및 습도 조절이 필요합니다.

---

**상세 분석 및 평가**

| 지표 | 측정값 | 평가 | 해석 및 영향 |
| :--- | :--- | :--- | :--- |
| **CO2** | 1041.7 ppm | **주의 (경계 수준)** | 실내 환기가 부족하거나 재실 인원이 많아 이산화탄소 농도가 높아지고 있습니다. 이는 졸음, 집중력 저하 등 인지 기능에 부정적인 영향을 줄 수 있습니다. |
| **PM2.5** | 5.0 μg/m³ | **매우 좋음** | 미세먼지 농도가 매우 낮아 호흡기 건강에 이상이 없습니다. 현재 공기 여과 상태가 양호합니다. |
| **온도** | 26.8°C | **주의 (약간 높음)** | 쾌적 온도 범위(일반적으로 20~24°C)보다 다소 높아 실내 이용자들의 체감 온도가 높을 수 있습니다. |
| **습도** | 26.1% | **주의 (낮음)** | 습도가 낮은 편입니다. 건조함으로 인해 피부 및 호흡기 불편함을 유발할 수 있습니다. |
| **재실 인원** | 154,493명 | **매우 높음** | CO2 농도가 높아지는 주요 원인입니다. 대규모 인원이 밀집해 있어 지속적인 환기가 필수적입니다. |

---

**권장 행동 지침**

**1. 환기 강화 (가장 중요)**
*   **목표:** CO2 농도를 800~1000 ppm 이하로 낮추는 것이 목표입니다.
*   **조치:** 실내 공조 시스템을 통해 신선한 외부 공기 유입량을 즉시 늘려주십시오. (환기 횟수 또는 환기 풍량 증대)

**2. 온도 조절**
*   **목표:** 쾌적 온도(23~24°C) 범위로 조정합니다.
*   **조치:** 냉방 설비의 온도를 약간 낮추어 실내 온도를 적정 수준으로 유지해 주십시오.

**3. 습도 조절**
*   **목표:** 습도를 40~60% 범위로 높입니다.
*   **조치:** 가습기를 가동하거나 공조 시스템의 가습 기능을 사용하여 실내 습도를 올려주십시오.

**4. 공기질 유지 관리**
*   **PM2.5:** 현재 상태가 매우 좋으므로, 현재의 필터링 및 청정 시스템 관리를 지속해 주십시오.",3층 왼쪽 교실의 공기질 상태가 위험합니다. 현재 이산화탄소 농도가 높으니 즉시 환기를 진행해 주십시오.,,,,,,
12,2026-04-08 12:00:00,713.1,5.0,26.6,22.5,1494,danger,"**현재 환경 상태 요약**

현재 실내 환경은 전반적으로 공기 질은 매우 우수하나, 습도가 매우 낮아 쾌적성 측면에서 보완이 필요합니다.

*   **공기 질 (매우 우수):** CO2(713.1ppm)와 PM2.5(5.0μg/m³) 수치가 모두 기준치 이하로 매우 깨끗하며, 쾌적한 호흡 환경을 제공하고 있습니다.
*   **온도 및 습도 (보완 필요):** 온도는 26.6°C로 다소 따뜻한 수준이며, 습도(22.5%)가 매우 낮아 건조함을 유발할 수 있습니다.
*   **재실 인원 (고밀도):** 1,494명이라는 매우 높은 인원이 밀집해 있습니다.

**필요한 행동 지침**

1.  **습도 조절 (최우선):**
    *   **조치:** 즉시 가습 시스템을 가동하여 습도를 40%~60% 범위로 높여주십시오.
    *   **이유:** 낮은 습도는 호흡기 점막 건조, 피부 건조, 정전기 발생 등의 불편함을 초래할 수 있습니다.
2.  **온도 및 냉방 관리:**
    *   **조치:** 재실 인원이 많으므로, 현재 온도가 쾌적한 수준인지 확인하고 필요하다면 냉방 설비를 미세 조정하여 과도한 더위를 방지하십시오.
3.  **환기 시스템 유지:**
    *   **조치:** CO2 수치가 현재 낮더라도, 고밀도 인원(1,494명)을 유지하는 만큼 환기 시스템이 최대 효율로 작동하고 있는지 지속적으로 모니터링하고 점검해야 합니다.",3층 왼쪽 교실의 공기 상태가 위험 수준입니다. 즉시 환기 시스템을 가동해 주십시오.,,,,,,
13,2026-04-09 10:00:00,1149.5,5.0,26.6,34.2,14514,danger,"**현재 환경 상태 요약**

전반적인 공기질은 미세먼지(PM2.5) 측면에서는 매우 우수하나, **이산화탄소(CO2) 농도가 매우 높아 환기가 시급한 상태**입니다. 실내 환경은 대체로 쾌적한 수준이나, 높은 재실 인원으로 인해 공기 순환에 문제가 발생하고 있습니다.

**세부 분석**

*   **✅ 미세먼지 (PM2.5):** 5.0μg/m³로 매우 양호한 수준입니다. 호흡기 건강에 위협이 되는 수준은 아닙니다.
*   **⚠️ 이산화탄소 (CO2):** 1149.5ppm은 높은 수준입니다. 이 정도의 농도는 졸음, 집중력 저하, 피로감 등을 유발할 수 있으며, 충분한 신선한 공기 공급이 필요함을 의미합니다.
*   **🌡️ 온도/습도:** 온도(26.6°C)는 활동하기에 적당한 수준이며, 습도(34.2%)는 약간 건조한 편입니다.

**필요한 행동 지침 (우선순위 순)**

**1. 즉각적인 환기 강화 (최우선)**
*   **환기 시스템 가동률 극대화:** 현재 재실 인원(14,514명)에 맞는 충분한 환기량을 확보해야 합니다. HVAC(공조 시스템)의 신선 공기 유입량을 최대로 늘리거나, 강제 환기 시스템을 작동시켜 CO2 농도를 낮추는 것이 가장 중요합니다.
*   **공기 교환율 점검:** 현재 시설의 공기 교환 시스템이 대규모 인원 밀집도를 감당할 수 있는지 점검하고 필요하다면 보강해야 합니다.

**2. 실내 쾌적성 개선 (보조 조치)**
*   **습도 조절:** 습도가 다소 낮으므로, 적정 습도(40~60%)를 유지할 수 있도록 가습기나 공조 시스템의 습도 조절 기능을 활용하는 것을 고려해 보세요.
*   **온도 미세 조정:** 26.6°C는 개인차가 있으므로, 환기 조치 후에도 불편함이 있다면 1~2°C 정도 온도를 낮춰 쾌적성을 높일 수 있습니다.

**요약:** **CO2 농도 저감을 위한 강력하고 지속적인 환기 조치가 현재 가장 시급한 과제입니다.**",3층 왼쪽 교실의 실내 공기 질이 위험 수준에 도달했습니다. 즉시 환기를 실시하여 신선한 공기를 공급해 주십시오.,,,,,,
14,2026-04-08 11:00:00,798.2,5.0,27.0,22.5,1910,danger,"**현재 환경 상태 분석**

현재 환경은 미세먼지(PM2.5) 수치는 매우 양호하나, 높은 재실 인원으로 인해 공기질 및 쾌적도 측면에서 스트레스가 높은 상태입니다.

1.  **공기질 (CO2):** 798.2ppm은 일반적인 실내 허용 기준치(보통 1000ppm 이하) 내에 있으나, 재실 인원이 매우 많다는 점을 고려할 때 환기가 충분하지 않아 이산화탄소 농도가 상승하고 있습니다. 이는 졸음 유발 및 집중력 저하의 원인이 될 수 있습니다.
2.  **쾌적도 (온도/습도):**
    *   **온도 (27.0°C):** 높은 편으로, 특히 많은 인원이 모인 환경에서는 체감 온도가 더 높게 느껴져 쾌적도가 떨어집니다.
    *   **습도 (22.5%):** 매우 낮은 수준입니다. 낮은 습도는 호흡기 건조, 피부 건조, 정전기 발생 등의 불편함을 유발할 수 있습니다.
3.  **미세먼지 (PM2.5):** 5.0μg/m³로 매우 깨끗하며, 공기 정화 측면에서는 우수한 상태입니다.

---

**필요한 행동 지침 (Action Plan)**

**✅ 최우선 조치 (공기질 개선)**

*   **환기 강화:** 실내 공기 순환 시스템(HVAC)을 가동하여 신선한 외부 공기 유입량을 즉시 늘려주십시오. CO2 농도를 800ppm 이하로 유지하는 것을 목표로 합니다.
*   **필터 및 시스템 점검:** 환기 시스템의 필터가 최적의 상태인지 점검하고, 필요시 성능을 최대로 가동해야 합니다.

**✅ 쾌적도 개선 조치 (온도/습도 관리)**

*   **습도 조절:** 가습기를 사용하여 습도를 40%~55% 사이로 끌어올리십시오. 이는 쾌적도를 높이고 호흡기 건강에 도움이 됩니다.
*   **온도 조절:** 실내 온도를 쾌적 범위(24~26°C)로 낮추기 위해 냉방 시스템의 세기를 조정하십시오.

**✅ 지속적인 모니터링**

*   **실시간 추적:** 재실 인원이 변동함에 따라 CO2 농도가 급격히 상승할 수 있으므로, 공기질 센서 데이터를 실시간으로 모니터링하고 선제적으로 조치해야 합니다.",3층 왼쪽 교실의 공기질이 위험 수준에 도달했습니다. 안전을 위해 즉시 환기를 실시해 주십시오.,,,,,,
15,2026-04-09 05:00:00,1429.4,5.0,27.3,31.4,160152,danger,"**현재 환경 상태 요약**

전반적인 공기 중 미세먼지(PM2.5)는 매우 양호하지만, 이산화탄소(CO2) 농도가 매우 높아 환기가 시급한 상태입니다. 습도가 낮고 실내 온도는 다소 높은 편으로, 쾌적성 개선이 필요합니다.

**상세 분석**

1. **이산화탄소 (CO2: 1429.4ppm):**
    *   **상태:** 매우 높음 (주의 필요 수준).
    *   **의미:** 1000ppm 이상은 실내 환기가 부족함을 의미하며, 높은 CO2 농도는 집중력 저하, 졸음, 피로감 등을 유발할 수 있습니다. 대규모 인원(160,152명)으로 인해 산소 소비량이 많아져 공기 순환이 필수적입니다.
2. **미세먼지 (PM2.5: 5.0μg/m³):**
    *   **상태:** 매우 양호.
    *   **의미:** 실내 공기 중 미세먼지 오염은 거의 없는 깨끗한 상태입니다.
3. **온도 및 습도 (27.3°C / 31.4%):**
    *   **상태:** 온도 약간 높음, 습도 낮음.
    *   **의미:** 습도 31.4%는 건조한 상태로, 호흡기 건강과 피부 건강에 좋지 않습니다.

**필요한 행동 지침**

**1. 최우선 조치: 환기 시스템 강화 (CO2 관리)**
*   **신선 공기 유입 극대화:** 즉시 외기 도입량을 늘려 CO2 농도를 낮춰야 합니다.
*   **환기 주기 단축:** HVAC(공조 시스템)의 환기 주기를 짧게 설정하고, 공기 순환 속도를 높이십시오.

**2. 쾌적성 개선 조치: 습도 조절**
*   **가습기 작동:** 습도를 40%~60% 사이의 쾌적 범위로 높여주십시오. (환기 강화로 인해 건조해질 수 있으므로 습도 관리가 중요합니다.)
*   **온도 모니터링:** 환기 강화 및 인원 밀집으로 인해 온도가 더 상승할 수 있으므로, 실내 온도를 지속적으로 모니터링하며 적정 수준(24°C~26°C)을 유지하도록 조정하십시오.",3층 왼쪽 교실의 공기 질이 위험 수준입니다. 이산화탄소 농도가 높아지니 환기를 실시해 주십시오.,,,,,,
16,2026-04-06 02:00:00,1130.7,5.0,26.8,31.6,0,abnormal,"**현재 환경 상태 요약**

전반적인 공기 질(미세먼지)은 매우 양호하지만, 실내 환경은 다소 덥고 건조하며 이산화탄소 농도가 높아 환기가 필요한 상태입니다.

*   **공기 질 (PM2.5):** 매우 우수합니다. (5.0μg/m³)
*   **환기/가스 (CO2):** 다소 높습니다. (1130.7ppm) 공기가 정체되어 있거나 환기가 부족함을 나타냅니다.
*   **쾌적성 (온도/습도):** 실내 온도가 다소 높은 편이며(26.8°C), 습도가 낮은 편입니다(31.6%).

**필요한 행동 지침**

1.  **환기 강화 (최우선):** CO2 농도가 기준치(일반적으로 1000ppm 이하 권장)를 초과했으므로, 실내에 사람이 없더라도 주기적으로 환기 시스템을 가동하거나 창문을 열어 신선한 공기를 유입시켜 주세요.
2.  **냉방 조절:** 실내 온도를 쾌적한 수준(22°C ~ 24°C)으로 낮추도록 에어컨 또는 냉방 시스템을 조절해 주세요.
3.  **습도 관리:** 습도가 낮은 편이므로, 실내 건조함이 불편함을 유발한다면 가습기를 사용하여 습도를 40%~60% 사이로 맞춰주는 것이 좋습니다.",3층 왼쪽 교실의 실내 공기질이 비정상 상태입니다. 환기를 통해 실내 환경을 개선해 주십시오.,,,,,,
17,2026-04-07 05:00:00,1541.3,5.0,27.5,21.2,0,abnormal,"**현재 환경 상태 설명**

전반적으로 공기 질 관리와 쾌적성 측면에서 개선이 필요한 상태입니다.

*   **공기 질 (CO2):** CO2 농도가 1541.3ppm으로 매우 높습니다. 이는 실내 공기가 정체되어 환기가 시급함을 나타냅니다.
*   **미세먼지 (PM2.5):** 5.0μg/m³으로 매우 양호하며 깨끗한 상태입니다.
*   **온도 및 습도:** 온도는 27.5°C로 다소 높은 편이며, 습도는 21.2%로 매우 건조한 상태입니다.

**필요한 행동 지침**

1.  **환기 실시 (최우선):** 창문을 열거나 공조 시스템의 외부 공기 유입 기능을 가동하여 즉시 CO2 농도를 낮추고 실내 공기를 순환시켜야 합니다.
2.  **습도 조절:** 건조함(21.2%)을 해소하기 위해 가습기를 사용하여 적정 습도(40~60%)를 유지하는 것이 좋습니다.
3.  **온도 조절:** 쾌적한 환경을 위해 희망하는 온도(예: 24~26°C)로 냉방 온도를 조절하는 것을 고려하십시오.",3층 왼쪽 교실의 공기질이 비정상적으로 높아 환기가 필요합니다.,,,,,,
18,2026-04-06 07:00:00,1342.8,5.0,27.5,31.3,0,abnormal,"**✅ 현재 환경 상태 요약**

전반적인 공기 청정도는 매우 좋으나, 이산화탄소(CO2) 농도가 높아 환기가 필요하며 실내 습도가 다소 낮은 상태입니다.

**🔍 상세 분석**

*   **CO2 (1342.8ppm):** 권장 기준(일반적으로 800~1000ppm 이하)보다 높습니다. 이는 실내 공기가 정체되어 있거나 환기가 충분하지 않음을 의미하며, 장시간 노출 시 졸음, 집중력 저하 등의 영향을 줄 수 있습니다.
*   **PM2.5 (5.0μg/m³):** 매우 우수한 상태입니다. 미세먼지 농도는 걱정할 수준이 아닙니다.
*   **온도 (27.5°C) & 습도 (31.3%):** 온도는 다소 따뜻한 편이며, 습도는 권장 범위(40~60%)보다 낮아 건조함을 느낄 수 있습니다.
*   **재실 인원 (0명):** 현재 공간은 비어 있으나, 높은 CO2 수치는 최근 사용 이력이나 건물 자체의 환기 시스템 문제일 수 있습니다.

**🛠️ 필요한 행동 지침**

1.  **환기 실시 (가장 중요):** 실내 공기 정체 해소를 위해 창문을 열어 외부 공기를 충분히 유입시키거나, 환기 시스템을 가동하십시오.
2.  **습도 조절:** 실내가 건조하게 느껴진다면 가습기를 사용하여 습도를 40~60% 수준으로 유지하는 것이 좋습니다.
3.  **온도 관리:** 27.5°C가 적절하다고 느껴지면 유지하되, 쾌적함을 높이고 싶다면 에어컨 등으로 온도를 미세 조정할 수 있습니다.",3층 왼쪽 교실의 공기 질이 비정상적입니다. 쾌적한 환경 조성을 위해 환기를 실행해 주십시오.,,,,,,
19,2026-04-07 03:00:00,1337.0,5.0,26.8,21.0,0,abnormal,"**현재 환경 상태 분석**

전반적인 미세먼지(PM2.5) 수준은 매우 양호하나, 실내 공기질과 쾌적성 측면에서 몇 가지 개선이 필요한 상태입니다.

*   **공기질 (CO2):** 높음 (환기 부족)
*   **미세먼지 (PM2.5):** 양호함
*   **쾌적성 (습도):** 매우 낮음 (건조함)
*   **쾌적성 (온도):** 적절함 (약간 따뜻함)

---

**상세 해석 및 지침**

**1. CO2 (1337.0ppm) - 환기 필요**
*   **해석:** CO2 수치가 높다는 것은 실내의 신선한 공기 교환이 충분하지 않음을 의미합니다. 공기 순환이 정체되어 있어 이산화탄소 농도가 높아졌습니다.
*   **지침:** 현재 재실 인원이 없더라도, 주기적으로 창문을 열어 **자연 환기**를 시키거나, 실내 환기 시스템(HVAC)을 가동하여 강제적으로 신선한 공기를 유입시켜야 합니다.

**2. PM2.5 (5.0μg/m³) - 양호**
*   **해석:** 미세먼지 농도는 매우 낮아 실내 공기 중 입자 오염도는 걱정할 수준이 아닙니다.
*   **지침:** 별도의 조치는 필요하지 않습니다.

**3. 습도 (21.0%) - 가습 필요**
*   **해석:** 습도가 21.0%로 매우 낮습니다. 낮은 습도는 피부 건조, 호흡기 불편함, 정전기 증가 등을 유발할 수 있습니다.
*   **지침:** 실내 습도를 40~60% 수준으로 유지하기 위해 **가습기**를 사용하거나 적절한 습도 조절 장치를 가동하는 것이 좋습니다.

**4. 온도 (26.8°C) - 유지 가능**
*   **해석:** 온도는 활동하기에 적당한 수준입니다.
*   **지침:** 현재 설정 온도를 유지하되, 습도 개선을 위해 냉난방 장치보다는 가습기 사용에 집중하는 것을 추천합니다.

**▶ 요약 행동 지침**

1.  **환기 강화:** CO2 수치 관리를 위해 반드시 환기 시스템을 가동하거나 창문을 열어 공기를 순환시키세요.
2.  **가습기 사용:** 건조함을 해소하고 쾌적성을 높이기 위해 습도를 올려주세요.",3층 왼쪽 교실의 공기 질이 비정상적입니다. 실내 환기를 진행해 주시기 바랍니다.,,,,,,
20,2026-04-08 01:00:00,933.0,5.0,26.6,23.7,0,abnormal,"**현재 환경 상태 요약**

현재 실내 공기 질은 매우 양호한 상태입니다. 미세먼지(PM2.5) 농도는 매우 낮고, 이산화탄소(CO2) 농도 역시 허용 가능한 수준입니다.

하지만 실내 쾌적성 측면에서는 온도가 다소 높고 습도가 매우 낮은 상태입니다. 공간에 사람이 없기 때문에 공기 질에 대한 즉각적인 위험은 없으나, 쾌적한 실내 환경을 유지하기 위해 온도 및 습도 조절이 필요합니다.

**필요한 행동 지침**

1. **온도 조절:**
    *   **조치:** 냉방 시스템을 가동하여 실내 온도를 24°C 내외로 낮추는 것을 권장합니다. (현재 26.6°C는 다소 더운 편입니다.)
2. **습도 조절:**
    *   **조치:** 습도가 23.7%로 매우 낮으므로, 가습기를 사용하여 습도를 40%~60% 범위로 높여주는 것이 좋습니다. (건조함으로 인한 불편함을 예방할 수 있습니다.)
3. **공기 질 관리:**
    *   **조치:** 현재 공기 질은 좋으나, 실내 환기는 주기적으로 유지하여 실내 공기가 정체되는 것을 방지해 주세요.",3층 왼쪽 교실의 공기 질 상태가 비정상적입니다. 이산화탄소 농도가 높으니 환기를 진행해 주십시오.,,,,,,
